610nm, 680nm, 730nm, 760nm, 810nm, 860nm, type
0.6441835, 0.1663484, 0.06299548, 0.03830781, 0.05330564, 0.03485909, cotton
0.6229087, 0.1945638, 0.06076865, 0.03692353, 0.05132027, 0.03351505, cotton
0.6096101, 0.2112124, 0.05944783, 0.03592628, 0.05079904, 0.03300423, cotton
0.6504041, 0.1682782, 0.05976376, 0.03784818, 0.04957166, 0.03413412, cotton
0.6059882, 0.2240221, 0.05303487, 0.03303604, 0.05044908, 0.03346969, cotton
0.642831, 0.1652573, 0.06343858, 0.03957764, 0.05400224, 0.03489325, cotton
0.5684481, 0.2527225, 0.05337605, 0.0361985, 0.05204296, 0.03721185, cotton
0.6182375, 0.1901665, 0.06380091, 0.03998079, 0.05223543, 0.03557888, cotton
0.6746749, 0.146653, 0.05908438, 0.03605586, 0.05089279, 0.03263906, cotton
0.6503203, 0.1644479, 0.06075478, 0.03653087, 0.0535456, 0.03440063, cotton
0.5908008, 0.2336134, 0.05752564, 0.03567965, 0.04964313, 0.03273737, cotton
0.6126918, 0.2097585, 0.05865756, 0.0353432, 0.05086865, 0.03268028, cotton
0.6034112, 0.2309504, 0.05362444, 0.03252726, 0.04783292, 0.03165372, cotton
0.6044291, 0.2190023, 0.05773246, 0.0357365, 0.0497557, 0.03334375, cotton
0.5944201, 0.2274395, 0.0589396, 0.03628014, 0.04974223, 0.03317845, cotton
0.3311441, 0.1266592, 0.2409024, 0.1531997, 0.08858027, 0.05951435, wool
0.3400154, 0.1255317, 0.2359659, 0.1560202, 0.08809036, 0.05437641, wool
0.3445004, 0.1275322, 0.2477892, 0.1481837, 0.08715955, 0.04483486, wool
0.3396801, 0.1279183, 0.2457053, 0.155703, 0.08433201, 0.04666124, wool
0.3383937, 0.1350359, 0.2546535, 0.1418027, 0.08442236, 0.04569174, wool
0.3648545, 0.1323591, 0.245357, 0.1386384, 0.07802038, 0.04077071, wool
0.3644984, 0.1192654, 0.2489624, 0.142603, 0.0824975, 0.04217311, wool
0.3475043, 0.1494817, 0.2321429, 0.1471085, 0.07967705, 0.04408564, wool
0.3603682, 0.1364519, 0.2365191, 0.1475398, 0.08043293, 0.03868802, wool
0.3418622, 0.1850762, 0.2208604, 0.1411333, 0.0733412, 0.0377267, wool
0.3479697, 0.1370012, 0.2425974, 0.1439693, 0.08270268, 0.04575973, wool
0.3955205, 0.1149964, 0.2376574, 0.1359991, 0.07633534, 0.03949127, wool
0.3464908, 0.1334669, 0.253388, 0.1487139, 0.07713077, 0.04080966, wool
0.339655, 0.1689084, 0.2291854, 0.1370255, 0.07886315, 0.0463625, wool
0.3218737, 0.1430857, 0.2451113, 0.1560019, 0.08434329, 0.0495842, wool
0.09041048, 0.08312243, 0.1269939, 0.2140656, 0.2638319, 0.2215756, polyester
0.2443085, 0.1304583, 0.220307, 0.1995354, 0.1327207, 0.07266997, polyester
0.2484064, 0.09888785, 0.2316371, 0.2094935, 0.1357144, 0.07586069, polyester
0.2498473, 0.08531395, 0.2431163, 0.2098049, 0.139935, 0.07198256, polyester
0.221264, 0.1229509, 0.2354753, 0.2065871, 0.1345957, 0.07912689, polyester
0.1417106, 0.08136985, 0.1642179, 0.2428173, 0.224349, 0.1455355, polyester
0.2507412, 0.09753143, 0.2336715, 0.207308, 0.1366916, 0.07405633, polyester
0.2490246, 0.1039513, 0.2314865, 0.2081448, 0.1346196, 0.07277325, polyester
0.2368334, 0.08963191, 0.242306, 0.2149684, 0.1386088, 0.07765148, polyester
0.2308798, 0.09134102, 0.235535, 0.2123425, 0.1447849, 0.08511693, polyester
